Expectation value of the intra-molecular  PES modulation over H2O v(0,0,0) and H2 v(0)
   Dist  Ngeom  Nfunc
   4.500 10000    66
 
  0  0  0  0          573.317586
  0  0  2  2          184.646448
  0  0  4  4           25.823953
  1  0  0  1          429.548656
  1  0  2  1          -25.435778
  1  0  2  3          191.489198
  1  0  4  3           -6.913656
  1  0  4  5           33.168167
  1  0  6  7            1.413464
  2  0  0  2           45.463516
  2  0  2  0            0.261108
  2  0  2  2           -4.938762
  2  0  2  4          -14.165579
  2  0  4  6           -5.526452
  2  2  0  2          280.368216
  2  2  2  0           14.203209
  2  2  2  1           -6.601086
  2  2  2  2          -23.537871
  2  2  2  3           -8.877511
  2  2  2  4          287.295731
  2  2  4  6           48.259174
  2  2  6  8            2.216860
  3  0  0  3          -67.172324
  3  0  2  1           -4.212077
  3  0  2  3            7.240530
  3  0  2  5          -76.364038
  3  0  4  7          -18.497061
  3  2  0  3          202.125681
  3  2  2  1            4.159047
  3  2  2  3          -22.300927
  3  2  2  4           -1.056004
  3  2  2  5          164.568331
  3  2  4  7           36.788738
  3  2  6  9            3.957012
  4  0  0  4          -30.410474
  4  0  2  4            4.129840
  4  0  2  6          -37.157587
  4  0  4  8          -11.158396
  4  2  0  4           56.820285
  4  2  2  2            1.992053
  4  2  2  4          -10.515601
  4  2  2  6           56.984886
  4  2  4  8           14.131158
  4  4  0  4           47.977104
  4  4  2  2            7.639532
  4  4  2  4          -10.355106
  4  4  2  5           -1.498222
  4  4  2  6           79.276894
  4  4  4  8           18.354988
  5  0  0  5           -2.234816
  5  0  2  7           -2.934648
  5  2  0  5            5.668011
  5  2  2  7           -3.565664
  5  4  0  5           40.617900
  5  4  2  5          -11.555254
  5  4  2  7           67.479433
  5  4  4  9           14.346828
  6  0  0  6            2.099201
  6  0  2  8            2.965752
  6  0  4 10            2.764740
  6  2  0  6           -9.019621
  6  2  2  8          -18.197282
  6  2  4 10          -10.166847
  6  4  0  6           15.361770
  6  4  2  8           34.393953
  6  4  4 10           12.689324
