REFERENCE potential expansion
   Dist  Ngeom Nfunc Sinv       RMS         ERR
   8.000 3000  149   2.005    0.017434    0.008022
 
  0  0  0  0         -315.853952
  0  0  2  2          -20.648842
  0  0  4  4           -1.138191
  0  0  6  6           -0.097298
  1  0  0  1          -29.325716
  1  0  2  1           -3.583404
  1  0  2  3          215.736924
  1  0  4  3            0.261269
  1  0  4  5            3.903739
  1  0  6  7            0.373337
  2  0  0  2           -8.850347
  2  0  2  0           -0.372498
  2  0  2  2           -0.328272
  2  0  2  4           -9.741567
  2  0  4  4            0.032781
  2  0  4  6           -0.126244
  2  2  0  2          -21.523026
  2  2  2  0            1.008705
  2  2  2  1           -0.808469
  2  2  2  2           -1.778307
  2  2  2  3           -0.406417
  2  2  2  4          133.323815
  2  2  4  2           -0.011673
  2  2  4  4            0.198271
  2  2  4  5            0.027478
  2  2  4  6            3.963269
  2  2  6  8            0.226760
  3  0  0  3            6.610740
  3  0  2  1            0.029258
  3  0  2  3            0.282008
  3  0  2  5          -20.385347
  3  0  4  1            0.001195
  3  0  4  7           -0.689307
  3  0  6  9           -0.023833
  3  2  0  3          -16.475939
  3  2  2  1           -0.132716
  3  2  2  2           -0.128429
  3  2  2  3           -0.800870
  3  2  2  4            0.022684
  3  2  2  5           36.141766
  3  2  4  1            0.003200
  3  2  4  6           -0.032956
  3  2  4  7            1.428511
  3  2  6  7            0.040937
  3  2  6  9            0.049535
  4  0  0  4            2.326310
  4  0  2  2            0.046987
  4  0  2  4            0.096370
  4  0  2  6           -6.171979
  4  0  4  6           -0.003143
  4  0  4  8           -0.238425
  4  0  6 10           -0.030146
  4  2  0  4           -3.352829
  4  2  2  2           -0.071065
  4  2  2  4           -0.116689
  4  2  2  6            7.555028
  4  2  4  6            0.002989
  4  2  4  8            0.328892
  4  2  6 10            0.046192
  4  4  0  4           -2.937405
  4  4  2  2           -0.181071
  4  4  2  3            0.009231
  4  4  2  4            0.013870
  4  4  2  5            0.025981
  4  4  2  6            7.000492
  4  4  4  8            0.388864
  4  4  6 10            0.020402
  5  0  0  5            0.086760
  5  0  2  5            0.003151
  5  0  2  7           -0.386941
  5  0  4  9            0.007974
  5  2  0  5            0.094170
  5  2  2  6           -0.007054
  5  2  2  7           -0.294363
  5  2  4  9           -0.077204
  5  4  0  5           -1.569299
  5  4  2  3           -0.077823
  5  4  2  4           -0.006927
  5  4  2  5            0.069367
  5  4  2  6            0.011277
  5  4  2  7            3.229658
  5  4  4  7            0.015268
  5  4  4  9            0.233022
  5  4  6  9            0.017139
  5  4  6 11            0.033308
  6  0  0  6           -0.196295
  6  0  2  8            0.322112
  6  0  4 10            0.047404
  6  2  0  6            0.338521
  6  2  2  4           -0.005855
  6  2  2  6           -0.005506
  6  2  2  7           -0.000076
  6  2  2  8           -0.601337
  6  2  4 10           -0.079599
  6  4  0  6           -0.512964
  6  4  2  4            0.003439
  6  4  2  6            0.013361
  6  4  2  8            0.825187
  6  4  4 10            0.055810
  6  4  6 10            0.004260
  6  4  6 12            0.014245
  6  6  0  6           -0.191295
  6  6  2  8            0.366487
  6  6  4 10           -0.006777
  7  0  0  7           -0.068201
  7  0  2  9            0.132823
  7  0  4 11            0.018370
  7  2  0  7            0.095208
  7  2  2  5           -0.005431
  7  2  2  9           -0.194421
  7  2  4 11           -0.023610
  7  4  0  7           -0.079825
  7  4  2  5            0.001633
  7  4  2  9            0.136379
  7  4  4 11            0.023433
  7  6  0  7           -0.092095
  7  6  2  5            0.017633
  7  6  2  7           -0.003669
  7  6  2  9            0.154427
  7  6  4 11           -0.003411
  8  0  0  8           -0.025692
  8  0  2 10            0.002295
  8  2  0  8            0.032926
  8  2  2 10            0.001485
  8  4  0  8           -0.016116
  8  4  2 10           -0.020370
  8  6  0  8            0.000803
  8  6  2 10            0.074266
  8  6  4 12           -0.001565
  8  8  0  8           -0.056007
  8  8  2 10           -0.059195
  8  8  4 12           -0.000903
  9  0  2 11           -0.005653
  9  2  2 11            0.013555
  9  4  0  9           -0.002089
  9  4  2 11           -0.015949
  9  4  4 13            0.016357
  9  6  0  9            0.011191
  9  6  2 11            0.034597
  9  6  4 13           -0.004356
  9  8  0  9           -0.015362
  9  8  2 11           -0.011477
  9  8  4 13           -0.005979
 10  0  2 12           -0.012734
 10  2  2 12            0.019806
 10  4  2 12           -0.012619
 10  6  2 12            0.014401
 10  8  2 12           -0.004238
 11  8  2 13           -0.003281
