         269          34
         269          43
         269          49
         269          53
         269          59
         269          64
         269          68
         269          74
         269          80
         269          84
         269          90
         269          98
         269         105
         269         109
         269         115
         269         123
         269         129
         269         133
         269         139
         269         147
         269         157
         269         164
         269         168
         269         174
         269         182
         269         192
         269         200
         269         206
         269         214
         269         224
         269         236
         269         245
         269         251
         269         259
         269         269
         270           2
